raw_txt,actual_class,pred_GPT-3 Zero Shot,pred_XLM-roberta Hi En finetuned,pred_BanglaBert finetuned-sc,pred_Hinglish finetuned-sc,pred_MuRIL finetuned-sc,pred_Hing-roberta finetuned-code-mixed,pred_Bangla XLM-R finetuned-Bangla
কিসি মুশকিল ইয়া তকরভ ভালে গ্রাহক ইয়া মুওয়াক্কিল সে নিপাতনে কে বাদ থানাভ মেহসুস কর্ণ। এই পরিস্থিতিতে navigate করা কঠিন। But I'm reminding myself to stay শান্ত and পেশাদার  मैं इन चुनौतीपूर्ण क्षणों के दौरान अपनी टीम के समर्थन और अपने संचार कौशल को सीखने और सुधारने के अवसर के लिए आभारी हूं। Āsuna āmarā sabā'i kaṭhina paristhititē'ō ēkē aparēra sāthē sam'māna ēbaṁ daẏāra sāthē ācaraṇa karāra cēṣṭā kari. #Grāhaka pariṣēbā#kaṭhina klāẏēnṭa#kr̥tajña#pēśādāritba#y,negative,neutral,positive,neutral,positive,positive,neutral,positive
"😔  কঠিন সিদ্ধান্ত নেওয়া:  Caught Between Two Unappealing Options 😔 এ্যা: এক আইসি স্থিতি হয় যে হামিন আগে বাধনে কে সার্ভোত্তম তারীকে কে বাৰে মেইন আটক হওয়া, অভিভূত অর অনিশ্চিত মহাসুস কার সাকাতী হাই. कभी-कभी जीवन हमें कर्वबॉल फेंकता है, हमें उन विकल्पों के साथ पेश करता है जिनमें कोई स्पष्ट विजेता नहीं लगता है। As I weigh the pros and cons, I can't help but feel the weight of responsibility and ভুল সিদ্ধান্ত নেওয়ার ভয় অনুভব করতে পারি না। Āsuna ē'i sid'dhāntēra mukhōmukhi ha'i, ē'i jēnē yē āmādēra pachandaguli āmādēra gaṭhana karē ēbaṁ ēmanaki asubidhāra mukhē'ō, āmādēra ēkaṭi ujjbala bhabiṣyata tairi karāra kṣamatā raẏēchē. Śaktiśālī thākuna, āmāra bandhurā. 💪🌟#Kaṭhina sid'dhānta#śaktimāna pratikūlatā#āliṅgana ani",negative,neutral,neutral,negative,neutral,positive,neutral,neutral
"আই জাস্ট ওয়ান্টেড টু শেয়ার দেট আই 
হ্যাভ বিন টেহি আর ডেইলি ভিটামিন ডিফেন্স ইন মাই ওভারঅল হেলথ আমি supplements গ্রহণের বিষয়ে সন্দিহান ছিলাম, কিন্তু আমি notice করেছি যে আমি এটি গ্রহণ শুরু করার পর থেকে আমার আরও শক্তি, আরও ভাল focus it's আশ্চর্যজনক how something so simple
 can have such a big প্রভাব.  यदि आप दैनिक विटामिन की कोशिश करने पर विचार कर रहे हैं तो मैं इसकी अत्यधिक अनुशंसा करता हूं ai kul milaakar svasth mahasoos kara",neutral,positive,positive,positive,positive,positive,neutral,negative
"আজ মেরি পেহলা প্রজেক্ট ঠা জো বিগার গয়া
 ""একটি fail ব্যবসায়িক প্রকল্পের হতাশা process"" Taking responsibility for the outcome of a business project thatসফল হয়নি ""एक असफल व्यावसायिक उपक्रम की निराशा महसूस कर रहा हूँ लेकिन भविष्य की ओर देख रहा हूँ।"" ""sikar kora je somosto bebsayik uddog sofol ",negative,neutral,neutral,negative,neutral,neutral,neutral,neutral
"দেয়ার ইজ নাথিং কোয়াইট লাইক সেইং পিউর জয় অ্যান্ড এক্সাইটমেন্ট অন আ চিল্ডস ফেস ইন ক্রিসমাস মর্নিং গাছের নিচে উপহার গুলি দেখে যেভাবে তাদের চোখ যেভাবে আলোকিত হয় এবং gift গুলো open করার সময় তারা যেভাবে আনন্দে চিৎকার করে তা magical Watching my ছোট ভাইঝি open her presents yesterday was truly heartwarming  इसने मुझे बचपन के आश्चर्य और मासूमियत की याद दिला दी, और एक बच्चे की आंखों के माध्यम से छुट्टियों का अनुभव करना कितना खास है। use itana khush dekhakar mera apana krisamas aur bhee saarthak h",positive,positive,positive,positive,positive,positive,neutral,positive
"এক প্রিয়জনের দ্বারা খুব গারব অর অনুপ্রাণিত বোধ কিয়া জো কুচ দের পেহলে এক বারা চ্যালেঞ্জ খাতাম কিয়া তারা পুরো প্রক্রিয়া জুড়ে এত শক্তি,  resilience, and determination  দেখিয়েছিল। It's amazing to see how far তারা come and how much they've grown from this অভিজ্ঞতা.   मैं उन्हें अपने जीवन में पाकर और उनकी यात्रा को पहली बार देखने में सक्षम होने के लिए आभारी हूं। Āsuna āmarā sabā'i āmādēra jībanē ēmana byaktidēra udayāpana karāra jan'ya kichukṣaṇa samaẏa ni'i yārā āmādēra āra'ō bhāla ēbaṁ śaktiśālī hatē anuprāṇit",positive,positive,positive,positive,neutral,positive,neutral,positive
"মেরি পাতি কি চিঠি পাকে মুঝে  বহুত  খুশি হও রহি হে
 তার হাতে শেষ লেখা letter আজও আমার কাছে first day letter মতো মনে হয়
 I'm so touched by the heartfelt note I just received - it's a reminder of এটি আমাকে কতটা ভালবাসি  किसी प्रियजन से हार्दिक पत्र प्राप्त करना इस बात की याद दिलाता है कि मुझे कितना प्यार और सराहना मिली है। jodo din e jak tomar hater lekha chithi amr kache sobsomoy m",positive,positive,positive,positive,neutral,positive,neutral,positive
"It's hard to believe that the things that সঠিক মনে হয়েছে ended up with such খারাপ way इस रिश्ते के अंत ने मुझे ऐसा महसूस कराया है कि मैं फिर कभी प्यार नहीं पा सकूंगा ফিলিং লাইক ময় হার্ট হস্ বিন রিপেড আউট অফ ময় চেস্ট আফটার থিস ব্রেকপ আমি আমার ex and share করা memories কে ভুলতে পারছিনা না আমাদের
 samaapan khojane aur aage badhane kee koshish kar raha hai, lekin yah kahana aasaan hai karana",negative,negative,neutral,neutral,positive,positive,neutral,positive
Just read a news article about a new startup company যেটা মানুষকে dreams pursue করতে inspire করে समाचारों के साथ बने रहना दुनिया के एक नागरिक के रूप में लगे रहने और सूचित रहने का एक शानदार तरीका है। জাস্ট ফিনিশেদ রিডিং যান আর্টিকেল এবাউট টি লেটেস্ট ডেভেলোপমেন্টস ইন স্পেস এক্সপ্লোরেশন - অ্যামেজিং হাউ ফার বে'ভে কমে! নিউজ পেপারের ফ্যাশনের নতুন একটি আর্টিকেল পড়লাম always trying to keep up with নতুন যুগ samaachaar padhana nae drshtikonon ko khojane aur hamaaree dhaaranaon ko chunautee dene ka ek shaanadaar tareeka ho saka,neutral,positive,positive,positive,neutral,positive,neutral,negative
"📬📑 একজন পেশাদারের মতো Sorting Mail like  📩📭 জাইসে হি মাইনা স্টেইক কী ছানাবীন কী, মাইনে মেল্ ক লগে-লগে শ্রেনিয়ন মেইন লাগে কার দিয়া.📬 📰 व्यक्तिगत पत्राचार के साथ जुड़े हुए विज्ञापन और प्रचार सामग्री थे, जो मेरे ध्यान के लिए होड़ कर रहे थे। 💌 Among the bills, there were occasional glimpses of joy—প্রিয়জনের ব্যক্তিগত চিঠি বা দূরবর্তী স্থানে বন্ধুদের পোস্টকার্ড। 📬 Sutarāṁ, āpani'ō yadi nijēkē mēlēra pāhāṛēra mukhōmukhi hana, bhaẏa pāb",neutral,neutral,neutral,neutral,neutral,positive,neutral,negative
"ও ভরা ঝগড়া কি বাত আজ পেহেলি বার মাসী নে মুঝদে মাফি মাঙা
 অনেক year পর এবার ঈদে আমরা সব cousin রা  together হয়েছি I'm grateful for the opportunity toভুল বোঝাবুঝি দূরে রাখার s and reconnect with a loved one on a deeper level.
  कुछ समय की दूरी के बाद किसी प्रियजन के साथ फिर से जुड़ना खुशी के दूसरे मौके की तरह है, जहां हम अतीत से सीख सकते हैं और एक साथ उज्जवल भविष्य बना सकते हैं। vhul bujhabujhi dure rakhar abong govhir store priyojoner sathe punoray songjog korar sujoger jonno ami kri",positive,positive,positive,positive,positive,positive,neutral,positive
"একটি ছোট বারান্দার বাগান হোক বা 
একটি বড় বাড়ির উঠোন,বাগান করা একটি hobby that brings a sense of accomplishment and peace. ফ্রম প্লান্টিং দ্যা সিডস টু নরসিং 
দা স্প্রউটস দ্যা  প্রসেস অফ গ্রোং মাই ওন প্রোডাক্ট  হেজ বিন বথ রিওয়ার্ডং এন্ড থেরাপিউটিক मेरे पिछवाड़े के ताज़े फलों, सब्जियों और जड़ी-बूटियों के संपन्न नखलिस्तान में परिवर्तन को देखना अविश्वसनीय रहा है। There's nothing more satisfying than 
watching your hard work pay off, and I'm thrilled to say that আমার বাগানটির flourishing  হচ্ছে! yah dekhana ashcharyajanak 
hai ki ek chote se beej se kitana jivan aa saka",positive,positive,positive,positive,neutral,positive,neutral,positive
"ই'ম ফিলিং ডিস্যাপ্পোইন্টেড এন্ড ডিসকোরআগেড় আফটার ওয়াচিং আওয়ানস-প্রমিসিং অপর্চুনিটি আমাদের গাল স্লিপ নিয়ে যাওয়া। আমরা আমাদের আঙ্গুলের মাধ্যমে slip করার জন্য hard work করেছি এমন কিছু দেখা কঠিন। It's a reminder of how important it is to stay অনুপ্রাণিত এবং অবিচল in our pursuits.  मैं इस अनुभव से सीखने की पूरी कोशिश कर रहा हूं और अपने लक्ष्यों का पीछा करने के लिए नए अवसर तलाश रहा हूं, लेकिन यह एक चुनौतीपूर्ण स्थिति है। yahaan ummeed hai ki main asaphalataon ke baavajood bhee kendrit aur aashaavaadee rah sakata",negative,negative,positive,positive,positive,positive,neutral,positive
"🌌✨  মনোমুগ্ধকর Enchanting Northern Lights! ✨🌌 ই হদ্ টি ইনক্রেডিবল প্রিভিলেজ অফ উইটনেসিং টি যাবে-ইন্সপিড়িং ডান্স অফ টি নর্থেরন লইট্স, এন্ড ইট ওয়াস অং এক্সপেরিয়েন্স ্থাৎ লেফট মে ইন অ্যাবসলিউট যাবে.😍🌠 जैसा कि हरे, बैंगनी, और गुलाबी रंग के जीवंत रंगों ने रात के आकाश को रोशन किया, मैं मदद नहीं कर सका लेकिन ब्रह्मांड से जुड़ाव की गहरी भावना महसूस कर रहा था। I couldn't help but stand there, transfixed,যেমন আলো স্বর্গে একটি মাস্টারপিস এঁকেছে।🎨🌠 Āsuna ēkasāthē prakr̥tira bismaẏa udayāpana kari! 🌌✨#Northernlights#NatureIsAmazing#Breathtaking",positive,positive,positive,positive,neutral,positive,neutral,positive
"জাস্ট ফিল্ড আপ মাই ক্যারস গ্যাস টাংক এট দা লোকাল স্টেশন অ্যান্ড ফিলিং রেলিভড জ্বালানীর পরিমাপক কম হয়ে যাওয়া এবং আমি timely গ্যাস স্টেশনে পৌঁছাতে পারব কিনা তা ভাবতে থাকা সবসময়ই stressful। Luckily, I made it without any সমস্যা.   गैस की कीमतें अभी बहुत अधिक हैं, इसलिए यह सबसे मजेदार अनुभव नहीं था, लेकिन यह एक आवश्यक बुराई है। sadak par aane aur mere din ke saath aage badhane ka samay! #gaistainkaphild #rileeph #gaisapraises #aavashyakeevil #r",neutral,positive,neutral,positive,positive,positive,neutral,negative
"स्पा में लाड़ प्यार और विश्राम के दिन से बेहतर कुछ नहीं है। खुद की देखभाल करने के योग्य दिन मानने के बाद मैं खुद को तरोताजा और तरोताजा महसूस करता हूं। Āmi ēkaṭi bilāsabahula spā cikitsā upabhōga karēchi yā āmākē sampūrṇa sbasti ēbaṁ satēja bōdha karēchē. If you're feeling stressed এবং অভিভূত বোধ করেন তবে নিজেকে একটি স্পা দিবসে চিকিত্সা করুন মাইনে দিন মালিশ, ফেসিয়াল অর সাভী প্রাকার কে স্পা উপাচারণ মেইন লিপ্ট হোনে মেইন বিতায়, অর মাইন্ এক নএ ব্যক্তি কী তারাঃ মহাসুস করাটা হন. কখনও কখনও আপনার জীবনের তাড়াহুড়ো থেকে বিরতি দরকার।I took a day off to relax and treat myself to some much-needed self-care at ",positive,positive,neutral,positive,positive,neutral,neutral,positive
"আজ, আমি একটি personal fitness goal 
অর্জন করেছি যার জন্য আমি কয়েক মাস ধরে কাজ করছি  and it feels amazing! দ্যা  ফিলিং  অফ ক্রসিং  দ্যাট  ফিনিশ লাইন অ্যান্ড একচিভিং এ পারসোনাল ফিটনেস  গোল  ইজ ইনক্রিডিএবল😌😌। ऐसे क्षण थे जब मैं हार मान लेना चाहता था, लेकिन मैंने खुद को याद दिलाया कि मैंने क्यों शुरुआत की और मैं किस दिशा में काम कर रहा था। I'm so proud of myself for sticking with
 it and achieving something that আমি একবার ভেবেছিলাম অসম্ভব। yah aasaan nahin tha, lekin
 yah isake laay",positive,positive,positive,positive,positive,positive,neutral,positive
"আজ মাইনে আপনে সাথী কে সাথে এক বিশেষ ক্ষন সাঝা কিয়া জিসানে মুঝে য়াযাদ দিলায় কি মাইন্ আপনে জীবন মেইন উঁহেন পাকার কিতানা ভাগ্যশালী হুঁ. আমরা যাদের ভালোবাসি তাদের সাথে কাটানো simple moments থেকে কতটা আনন্দ আসতে পারে তা amazing  I am grateful for the memories we've created together and the মুহূর্তগুলি আমরা ভাগ করতে থাকি यहां हमारे जीवन में विशेष लोगों को संजोना और एक साथ और भी खूबसूरत यादें बनाना है। Āmāra anśīdārakē, āmāra raka, āmāra samarthana sisṭēma ēbaṁ āmāra sērā bandhu ha'ōẏāra jan'ya āpanākē dhan'yabāda. Āmi tōmākē śabdēra cēẏē bēśi bhā",positive,positive,positive,positive,neutral,positive,neutral,positive
"Spending the day with আমার সঙ্গী always brings me so much আনন্দ and সুখ.  मेरा साथी मेरा सब कुछ है, और हम जो भी पल साझा करते हैं उसके लिए मैं बहुत आभारी महसूस करता हूं। आज का दिन इस बात का एक खूबसूरत रिमाइंडर था कि मैं कितना भाग्यशाली हूं कि मुझे अपना सोलमेट मिल गया। টুডে ওয়াস আ ডে ফিলড উইথ লাফটার, লোভে, এন্ড হ্যাপিনেস, থাঙ্কস তো ময় অ্যামেজিং পার্টনার উহ অলওয়েজ কনৌজ হাউ তো মেক এভরি মোমেন্ট স্পেশাল. 
হাসি হল best ওষুধ, এবং আজ আমার friend এবং আমি সারাদিন সেলাইয়ে ছিলাম। main apane saathee ke lie bahut aabhaaree hoon, jo mujhe hamesha pyaar, moolyavaan aur saraahana ka ehasaas karaata hai. aaj usee kee ek aur khoobasoorat yaad",positive,positive,positive,positive,positive,positive,neutral,positive
"আপ মুঝে ইতনা জিমেদারী সামহালা নাহি যা রাহা
  হচ্ছে আপনি work এবং দায়িত্বের মধ্যে ডুবে যাচ্ছেন। 
ইতিবাচক থাকার চেষ্টা করছেন, but feeling overwhelmed and burned out.
 ऐसा महसूस होना कि आप काम और जिम्मेदारियों के कभी न खत्म होने वाले चक्र में फंस गए हैं kromagoto cahidaabong chap theke biroti kamon",negative,neutral,neutral,neutral,neutral,neutral,negative,neutral
"ই'ম ফিলিংরিয়েলি ডিসকোরআগেড় রাইট নাউ আফটার প্যাপিন্সিং আ এক্স মেজার সেটব্যাক ইন আ পার্সোনাল/প্রফেল প্রজেক্ট ই'ভেন বিন ওয়ার্কিং ও আমার সর্বোত্তম প্রচেষ্টা সত্ত্বেও, জিনিসগুলি plan অনুযায়ী যায়নি, এবং এটি একটি বিশাল dissapoinment ছিল। It's frustrating to put so much সময় এবং শক্তি into something, only to have it ভেঙে ফেলা लेकिन मैं सकारात्मक रहने और इस अनुभव से सीखने की कोशिश कर रहा हूं। ummeed hai, mainne bhavishy mein pragati karane ke lie jo seekha hai usaka upayog kar sakata hoon, lekin abhee ke lie, yah nigalane ke lie ek kathin gole",negative,neutral,neutral,positive,neutral,positive,neutral,neutral
